;;;Barri d'alta;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1. el Raval;7.324;3.323;256;110;204;91;71;107;110;113;265;621;4;66;37;70;24;24;113;75;15;13;17;25;11;20;55;63;19;8;16;156;36;37;5;46;5;55;7;7;9;4;8;56;18;18;65;6;6;7;26;29;36;15;2;47;1;68;2;53;47;26;16;31;52;60;24;10;59;8;131;22;32;30;0;
1;2. el Barri Gòtic;3.333;431;299;74;114;62;98;99;93;71;78;169;0;27;26;35;39;39;89;45;14;16;7;22;24;29;56;37;12;9;11;108;36;25;12;57;6;54;8;7;6;4;5;26;34;45;64;3;15;3;42;25;39;18;3;42;1;33;3;25;50;37;10;21;61;35;42;10;37;5;58;29;47;17;0;
1;3. la Barceloneta;1.399;96;40;482;65;32;25;29;9;22;18;60;0;16;1;6;4;13;19;7;8;4;0;4;1;2;8;10;6;4;3;34;10;6;3;16;3;12;3;4;0;3;0;18;11;5;6;1;4;3;6;3;13;2;0;5;0;2;6;9;24;10;6;7;17;23;24;13;24;15;20;8;17;9;0;
1;4. Sant Pere, Santa Caterina i la Ribera;2.088;159;110;84;446;66;56;106;44;38;54;75;0;15;11;8;8;8;36;29;9;2;8;24;6;11;25;32;10;8;5;59;42;20;13;23;6;13;2;5;4;0;0;14;9;6;18;0;2;0;25;6;11;8;0;8;0;9;5;9;23;20;4;23;29;29;36;7;39;19;13;10;11;15;0;
2;5. el Fort Pienc;1.927;98;30;20;45;415;118;128;37;49;31;39;0;8;6;22;8;14;30;29;11;6;6;4;3;6;17;17;10;11;2;59;25;34;5;26;3;16;5;7;1;0;1;11;16;11;7;1;10;1;7;6;8;6;0;20;1;15;1;5;28;20;8;23;44;58;38;25;44;16;29;24;19;23;0;
2;6. la Sagrada Família;2.995;74;32;18;45;105;655;132;49;54;38;35;0;20;2;17;9;15;44;49;21;7;5;8;12;31;34;38;9;7;22;97;108;130;13;77;10;32;13;9;3;6;0;27;24;19;29;2;10;3;30;9;31;5;3;9;0;11;1;8;49;43;18;41;213;97;20;17;43;35;20;32;18;43;0;
2;7. la Dreta de l'Eixample;2.446;74;33;24;77;166;144;455;132;71;42;58;0;8;9;19;9;10;31;38;23;11;11;50;25;17;90;49;16;10;10;112;78;44;1;40;5;25;6;2;5;4;0;16;15;16;7;1;4;0;4;5;11;3;1;1;1;6;0;9;37;17;8;25;49;19;27;19;31;22;7;23;11;17;0;
2;8. l'Antiga Esquerra de l'Eixample;2.381;111;42;20;31;58;62;130;440;232;80;62;1;19;11;20;19;23;31;91;30;13;6;42;19;47;73;39;23;5;23;95;57;31;5;39;1;6;5;4;6;2;2;11;10;13;6;4;5;1;3;6;9;1;0;0;0;11;0;10;32;9;9;10;40;16;10;11;28;23;3;18;14;12;0;
2;9. la Nova Esquerra de l'Eixample;2.902;112;27;21;30;52;101;110;178;601;149;79;0;40;32;73;14;45;107;130;45;27;8;31;15;37;69;38;27;7;9;91;42;32;7;33;5;13;10;8;4;4;0;15;19;20;16;0;6;9;6;3;11;6;0;1;0;10;0;11;28;30;19;23;43;35;18;6;24;20;16;14;18;12;0;
2;10. Sant Antoni;2.070;189;31;23;50;30;47;61;78;158;397;221;0;39;23;32;28;26;39;24;8;9;5;10;9;17;30;30;10;3;6;50;27;15;6;17;5;13;3;1;2;4;0;18;13;13;8;3;3;0;6;4;10;3;0;7;1;4;1;6;20;22;13;13;27;17;19;2;12;9;11;11;10;8;0;
3;11. el Poble Sec - Parc Montjuïc;3.404;508;71;58;69;40;60;37;49;94;211;1087;1;65;28;33;32;30;74;54;17;6;10;5;1;6;19;33;25;5;10;67;24;21;4;40;7;12;15;1;2;5;0;25;20;13;31;3;2;3;14;7;13;10;8;16;0;15;1;25;24;15;7;20;22;31;15;5;24;4;44;26;12;13;0;
3;12. la Marina del Prat Vermell - Zona Franca;38;2;1;0;0;0;0;0;0;1;1;1;6;12;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;1;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;2;2;0;0;
3;13. la Marina de Port;1.348;61;8;9;15;6;13;11;17;20;26;22;7;682;26;25;43;18;38;18;16;2;4;4;1;9;11;2;9;2;0;18;6;10;4;9;0;9;0;0;3;0;0;7;2;7;1;0;4;2;1;2;1;1;0;3;0;7;1;4;16;7;0;3;21;7;9;1;10;11;13;5;8;10;0;
