Dte;;Barcelona;ElRaval;ElBarriGotic;LaBarceloneta;SantPereSantaCaterinaILaRibera;ElFortPienc;LaSagradaFamília;LaDretaDeLEixample;LAntigaEsquerraDeLEixample;LaNovaEsquerraDeLEixample;SantAntoni;ElPobleSecParcMontjuIc;LaMarinaDelPratVermellZonaFranca;LaMarinaDePort;LaFontDeLaGuatlla;Hostafrancs;LaBordeta;SantsBadal;Sants;LesCorts;LaMaternitatISantRamon;Pedralbes;VallvidreraElTibidaboILesPlanes;Sarria;LesTresTorres;SantGervasiLaBonanova;SantGervasiGalvany;ElPutxetIElFarro;VallcarcaIElsPenitents;ElColl;LaSalut;LaVilaDeGracia;ElCampDEnGrassotIGraciaNova;ElBaixGuinardo;CanBaro;ElGuinardo;LaFontDEnFargues;ElCarmel;LaTeixonera;SantGenisDelsAgudells;Montbau;LaVallDHebron;LaClota;Horta;VilapicinaILaTorreLlobeta;Porta;ElTuroDeLaPeira;CanPeguera;LaGuineueta;Canyelles;LesRoquetes;Verdun;LaProsperitat;LaTrinitatNova;TorreBaro;CiutatMeridiana;Vallbona;LaTrinitatVella;BaroDeViver;ElBonPastor;SantAndreu;LaSagrera;ElCongresIElsIndians;Navas;ElCampDeLArpaDelClot;ElClot;ElParcILaLlacunaDelPoblenou;LaVilaOlimpicaDelPoblenou;ElPoblenou;DiagonalMarIElFrontMaritimDelPoblenou;ElBesosIElMaresme;ProvencalsDelPoblenou;SantMartiDeProvencals;LaVernedaILaPau;NoConsta
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BARCELONA;;109.603;7.953;1.644;1.314;2.166;1.995;3.720;2.680;2.702;3.426;2.774;4.415;51;1.756;643;1.382;1.129;1.615;2.791;2.195;963;442;242;1.411;846;1.392;2.223;1.918;853;405;767;3.571;1.958;1.689;528;2.494;417;2.070;733;413;292;242;38;1.392;1.689;1.662;1.492;114;667;233;1.443;915;1.854;639;162;1.050;78;1.166;92;696;3.111;1.948;857;1.361;2.713;1.675;1.049;450;2.188;775;1.954;1.111;1.355;1.444;10
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1. el Raval;8.520;4.513;296;100;199;55;124;88;138;141;438;843;0;83;36;68;39;56;101;31;13;9;11;17;7;18;21;36;27;4;10;127;36;25;12;40;6;40;17;4;6;3;2;23;20;29;13;3;7;2;20;12;28;14;3;32;1;38;1;10;45;25;9;27;55;32;20;12;47;16;93;19;10;12;2
1;2. el Barri Gòtic;1.989;314;394;45;156;46;46;66;55;41;46;143;1;15;5;14;8;16;17;13;6;1;5;28;8;21;9;15;11;8;3;54;17;10;6;17;3;6;4;6;4;2;0;13;6;4;3;1;4;1;12;4;10;5;1;5;0;2;1;6;14;12;3;6;36;19;18;5;45;10;25;14;13;6;0
1;3. la Barceloneta;1.537;79;71;575;74;21;24;27;18;17;25;60;1;15;1;5;8;5;18;8;2;1;3;2;1;3;1;8;4;0;5;50;13;10;1;16;2;15;7;4;4;0;0;4;8;10;4;0;1;7;3;5;7;6;0;4;0;2;3;9;22;8;12;3;32;15;28;13;47;9;34;13;13;11;0
1;4. Sant Pere, Santa Caterina i la Ribera;2.353;208;134;52;667;112;50;123;37;50;52;84;1;5;15;13;3;14;28;21;3;3;5;10;6;16;27;16;10;2;7;78;27;11;3;16;3;18;3;1;6;2;0;5;10;16;6;1;2;0;11;0;14;6;0;3;0;4;0;2;17;20;4;13;27;27;63;22;45;19;42;14;12;6;0
2;5. el Fort Pienc;2.109;74;27;23;71;530;195;143;47;58;30;38;0;28;10;15;12;12;21;28;20;3;0;7;3;7;19;12;6;3;15;65;36;22;3;27;3;6;0;1;2;1;0;15;16;12;5;0;9;1;9;9;14;3;2;5;0;9;0;4;23;13;7;16;41;37;78;13;48;13;20;26;19;19;0
2;6. la Sagrada Família;3.715;80;34;16;40;143;1.079;145;76;75;54;49;4;17;13;12;9;20;47;55;21;5;7;27;6;24;51;27;26;16;18;109;168;144;30;129;9;34;13;2;1;2;0;26;44;13;17;1;5;2;13;9;27;9;1;5;0;9;2;11;48;39;23;53;240;66;37;13;39;28;21;19;39;19;0
2;7. la Dreta de l'Eixample;2.686;63;41;19;85;159;154;612;150;70;73;60;0;11;4;26;8;7;23;62;25;9;12;40;37;38;99;37;13;4;15;152;105;44;7;30;2;20;5;9;1;0;0;14;16;2;6;1;4;3;0;5;7;1;4;2;0;8;2;2;30;10;14;15;60;26;15;17;48;14;2;13;6;8;0
2;8. l'Antiga Esquerra de l'Eixample;2.733;124;32;10;52;55;69;138;644;281;97;62;1;18;11;17;13;25;72;67;22;11;6;45;29;36;128;49;19;3;6;104;52;22;7;27;3;14;2;3;4;0;0;12;14;8;6;0;1;1;6;3;11;1;0;10;0;6;0;2;29;21;8;8;45;29;14;10;46;18;11;10;12;11;0
2;9. la Nova Esquerra de l'Eixample;3.560;121;36;28;47;48;74;113;256;1.045;211;110;1;61;28;82;28;42;111;121;33;9;7;28;18;34;77;42;16;3;24;103;48;27;10;28;4;20;19;1;7;0;2;13;25;13;9;4;6;0;9;8;8;3;1;10;0;9;0;8;27;25;8;15;54;29;24;15;37;10;14;21;22;10;0
2;10. Sant Antoni;2.849;276;35;17;38;31;62;69;138;282;705;336;1;33;38;54;28;29;54;38;20;4;6;26;15;17;30;17;4;5;1;41;15;19;5;22;3;4;4;2;18;2;0;5;5;13;9;0;2;12;5;6;4;1;2;8;1;7;1;6;23;26;9;12;21;17;17;12;21;8;9;11;17;15;0
