DTE;BARRIS;BARCELONA;ELRAVAL;ELBARRIGOTIC;LABARCELONETA;SANTPERESANTACATERINAILARIBERA;ELFORTPIENC;LASAGRADAFAMILIA;LADRETADELEIXAMPLE;LANTIGAESQUERRADELEIXAMPLE;LANOVAESQUERRADELEIXAMPLE;SANTANTONI;ELPOBLESECPARCMONTJUIC;LAMARINADELPRATVERMELLZONAFRANCA;LAMARINADEPORT;LAFONTDELAGUATLLA;HOSTAFRANCS;LABORDETA;SANTSBADAL;SANTS;LESCORTS;LAMATERNITATISANTRAMON;PEDRALBES;VALLVIDRERAELTIBIDABOILESPLANES;SARRIA;LESTRESTORRES;SANTGERVASILABONANOVA;SANTGERVASIGALVANY;ELPUTXETIELFARRO;VALLCARCAIELSPENITENTS;ELCOLL;LASALUT;LAVILADEGRACIA;ELCAMPDENGRASSOTIGRACIANOVA;ELBAIXGUINARDO;CANBARO;ELGUINARDO;LAFONTDENFARGUES;ELCARMEL;LATEIXONERA;SANTGENISDELSAGUDELLS;MONTBAU;LAVALLDHEBRON;LACLOTA;HORTA;VILAPICINAILATORRELLOBETA;PORTA;ELTURODELAPEIRA;CANPEGUERA;LAGUINEUETA;CANYELLES;LESROQUETES;VERDUN;LAPROSPERITAT;LATRINITATNOVA;TORREBARO;CIUTATMERIDIANA;VALLBONA;LATRINITATVELLA;BARODEVIVER;ELBONPASTOR;SANTANDREU;LASAGRERA;ELCONGRESIELSINDIANS;NAVAS;ELCAMPDELARPADELCLOT;ELCLOT;ELPARCILALLACUNADELPOBLENOU;LAVILAOLIMPICADELPOBLENOU;ELPOBLENOU;DIAGONALMARIELFRONTMARITIMDELPOBLENOU;ELBESOSIELMARESME;PROVENCALSDELPOBLENOU;SANTMARTIDEPROVENCALS;LAVERNEDAILAPAU;NOCONSTA
;;104950;7634;1733;1487;2120;2038;3596;2839;2801;3527;2881;3815;58;1599;617;1184;1033;1425;2659;2209;1026;499;208;1234;781;1333;2433;1666;828;451;668;3769;2094;1467;517;2283;348;1979;739;409;245;269;55;1501;1545;1710;1392;80;695;202;1408;970;1608;586;169;897;39;939;111;708;2681;1768;765;1184;2501;1590;796;500;1959;649;1814;1023;1295;1266;43
1;1. el Raval;6968;4059;266;68;174;59;76;52;105;110;335;558;0;54;19;38;32;30;71;40;7;8;0;11;10;21;34;27;5;3;13;61;26;29;9;33;6;25;14;1;2;7;1;21;12;27;8;1;9;1;16;7;3;8;3;12;1;25;4;19;18;15;3;17;27;36;17;12;29;4;65;17;9;23;0
1;2. el Barri Gòtic;1401;196;316;54;131;30;33;38;34;29;36;62;0;24;3;15;4;8;30;11;6;1;0;5;3;15;17;8;8;1;2;44;13;5;3;16;0;7;2;3;0;0;1;12;3;6;7;0;5;1;6;3;1;0;0;8;1;4;1;2;7;8;3;7;11;14;16;4;15;3;19;7;6;7;0
1;3. la Barceloneta;1285;89;46;580;62;20;35;18;21;15;22;42;0;6;5;3;7;4;24;8;3;0;2;0;1;4;5;14;4;2;3;21;13;8;1;16;2;9;0;2;1;1;0;4;3;7;4;0;3;0;8;1;5;0;0;0;0;6;0;3;7;6;1;3;17;7;10;6;19;11;19;6;4;6;0
1;4. Sant Pere, Santa Caterina i la Ribera;1912;176;129;59;553;64;54;87;45;38;32;51;0;2;3;22;3;11;24;22;6;5;4;11;8;14;16;21;8;6;20;64;29;15;5;25;1;6;4;2;1;0;0;22;5;4;4;0;0;0;8;3;8;1;7;1;1;8;4;3;12;8;1;9;20;17;33;25;21;9;15;2;7;8;0
2;5. el Fort Pienc;2033;64;61;27;95;493;149;171;59;60;42;38;0;10;8;14;8;19;15;19;7;4;1;10;8;7;22;16;9;5;19;56;27;21;11;14;5;11;2;6;1;0;0;14;6;12;7;2;4;0;3;8;15;2;1;1;0;8;2;5;17;18;14;35;35;24;63;36;23;10;22;13;12;7;0
2;6. la Sagrada Família;3230;83;36;36;42;131;952;178;82;75;65;60;0;11;5;20;17;28;40;44;13;7;3;4;4;18;31;37;12;9;10;110;164;103;20;70;5;26;4;5;5;1;0;22;20;25;12;0;3;5;8;8;9;2;1;4;1;5;0;12;26;22;13;28;195;74;22;10;27;9;17;16;35;33;0
2;7. la Dreta de l Eixample;2676;61;67;21;139;169;110;743;121;79;78;41;1;9;10;13;6;8;38;30;19;15;8;20;24;33;74;28;32;7;24;149;82;32;9;23;8;10;4;0;3;2;0;11;5;4;7;5;1;0;10;9;7;0;0;1;0;1;0;6;28;12;4;19;49;32;10;15;21;20;10;16;13;10;0
2;8. l Antiga Esquerra de l Eixample;2546;125;29;12;43;42;94;161;654;281;106;58;1;14;14;20;13;17;27;64;16;11;10;23;18;23;136;37;24;5;12;85;47;12;9;18;2;6;7;4;1;4;0;5;14;5;1;0;6;0;2;6;9;3;0;4;0;0;0;0;22;12;14;19;35;16;8;6;27;6;6;12;9;14;0
2;9. la Nova Esquerra de l Eixample;3436;147;38;36;45;46;93;87;321;1059;261;63;0;32;31;65;30;32;106;125;32;9;2;29;26;20;79;43;15;5;17;62;42;20;3;24;6;4;11;1;0;1;0;6;11;22;16;1;10;7;11;6;7;0;0;9;0;10;1;13;30;14;11;16;31;25;11;10;15;9;10;17;12;25;2
2;10. Sant Antoni;2826;495;82;22;50;35;63;49;124;207;691;319;0;30;24;33;22;21;35;20;18;3;2;13;5;12;26;16;9;8;5;55;22;10;5;11;1;10;3;4;8;2;0;9;9;7;9;1;5;0;4;5;4;0;1;8;0;11;0;1;16;10;6;11;17;17;21;9;21;7;9;15;8;14;1
