Dte;Barris;Total;Homes;Dones
;;;;
BARCELONA;;1.611.822;763.701;848.121
;;;;
1;1. el Raval;48.800;26.705;22.095
1;2. el Barri Gòtic;16.267;8.697;7.570
1;3. la Barceloneta;15.503;7.767;7.736
1;4. Sant Pere, Santa Caterina i la Ribera;22.769;11.334;11.435
2;5. el Fort Pienc;31.738;14.824;16.914
2;6. la Sagrada Família;51.806;23.799;28.007
2;7. la Dreta de l'Eixample;43.384;19.798;23.586
2;8. l'Antiga Esquerra de l'Eixample;41.773;19.137;22.636
2;9. la Nova Esquerra de l'Eixample;57.819;26.697;31.122
2;10. Sant Antoni;38.260;17.911;20.349
3;11. el Poble Sec - Parc Montjuïc;40.984;20.139;20.845
3;12. la Marina del Prat Vermell - Zona Franca;1.172;599;573
3;13. la Marina de Port;30.271;14.619;15.652
3;14. la Font de la Guatlla;10.313;4.869;5.444
3;15. Hostafrancs;15.960;7.674;8.286
3;16. la Bordeta;18.577;8.810;9.767
3;17. Sants - Badal;24.351;11.419;12.932
3;18. Sants;41.057;19.485;21.572
4;19. les Corts;46.183;21.512;24.671
4;20. la Maternitat i Sant Ramon;23.667;11.053;12.614
4;21. Pedralbes;11.790;5.490;6.300
5;22. Vallvidrera, el Tibidabo i les Planes;4.437;2.128;2.309
5;23. Sarrià;24.450;11.326;13.124
5;24. les Tres Torres;15.984;7.394;8.590
5;25. Sant Gervasi - la Bonanova;24.607;11.155;13.452
5;26. Sant Gervasi - Galvany;46.486;20.957;25.529
5;27. el Putxet i el Farró;29.302;13.366;15.936
6;28. Vallcarca i els Penitents;15.453;7.124;8.329
6;29. el Coll;7.232;3.392;3.840
6;30. la Salut;13.210;6.071;7.139
6;31. la Vila de Gràcia;50.615;23.039;27.576
6;32. el Camp d'en Grassot i Gràcia Nova;34.439;15.837;18.602
7;33. el Baix Guinardó;25.641;11.828;13.813
7;34. Can Baró;8.969;4.219;4.750
7;35. el Guinardó;35.679;16.498;19.181
7;36. la Font d'en Fargues;9.490;4.533;4.957
7;37. el Carmel;31.789;15.295;16.494
7;38. la Teixonera;11.654;5.633;6.021
7;39. Sant Genís dels Agudells;6.935;3.293;3.642
7;40. Montbau;5.111;2.281;2.830
7;41. la Vall d'Hebron;5.494;2.591;2.903
7;42. la Clota;438;216;222
7;43. Horta;26.543;12.500;14.043
8;44. Vilapicina i la Torre Llobeta;25.543;11.756;13.787
8;45. Porta;24.193;11.427;12.766
8;46. el Turó de la Peira;15.593;7.206;8.387
8;47. Can Peguera;2.230;1.046;1.184
8;48. la Guineueta;15.117;7.052;8.065
8;49. Canyelles;7.102;3.406;3.696
8;50. les Roquetes;15.768;7.681;8.087
8;51. Verdun;12.329;5.770;6.559
8;52. la Prosperitat;26.299;12.527;13.772
8;53. la Trinitat Nova;7.551;3.610;3.941
8;54. Torre Baró;2.192;1.110;1.082
8;55. Ciutat Meridiana;10.485;5.264;5.221
8;56. Vallbona;1.346;659;687
9;57. la Trinitat Vella;10.423;5.418;5.005
9;58. Baró de Viver;2.415;1.172;1.243
9;59. el Bon Pastor;12.800;6.475;6.325
9;60. Sant Andreu;56.476;26.731;29.745
9;61. la Sagrera;28.911;13.550;15.361
9;62. el Congrés i els Indians;14.010;6.360;7.650
9;63. Navas;21.811;10.150;11.661
10;64. el Camp de l'Arpa del Clot;37.933;17.767;20.166
10;65. el Clot;27.169;13.109;14.060
10;66. el Parc i la Llacuna del Poblenou;14.355;6.862;7.493
10;67. la Vila Olímpica del Poblenou;9.319;4.584;4.735
10;68. el Poblenou;32.838;16.030;16.808
10;69. Diagonal Mar i el Front Marítim del Poblenou;12.894;6.304;6.590
10;70. el Besòs i el Maresme;23.118;11.859;11.259
10;71. Provençals del Poblenou;20.052;9.690;10.362
10;72. Sant Martí de Provençals;25.994;12.180;13.814
10;73. la Verneda i la Pau;29.154;13.932;15.222
