Dte.;Barris;TOTAL;Homes;Dones
1;1. el Raval;47.142;25.689;21.453
1;2. el Barri Gòtic;15.484;8.133;7.351
1;3. la Barceloneta;15.032;7.498;7.534
1;4. Sant Pere, Santa Caterina i la Ribera;22.457;11.216;11.241
2;5. el Fort Pienc;31.543;14.817;16.726
2;6. la Sagrada Família;51.097;23.440;27.657
2;7. la Dreta de l'Eixample;43.556;20.092;23.464
2;8. l'Antiga Esquerra de l'Eixample;41.664;19.217;22.447
2;9. la Nova Esquerra de l'Eixample;57.665;26.733;30.932
2;10. Sant Antoni;38.033;17.918;20.115
3;11. el Poble Sec - Parc Montjuïc;40.208;19.785;20.423
3;12. la Marina del Prat Vermell - Zona Franca;1.125;570;555
3;13. la Marina de Port;30.232;14.593;15.639
3;14. la Font de la Guatlla;10.366;4.885;5.481
3;15. Hostafrancs;15.747;7.534;8.213
3;16. la Bordeta;18.378;8.675;9.703
3;17. Sants - Badal;24.014;11.276;12.738
3;18. Sants;40.687;19.245;21.442
4;19. les Corts;46.000;21.368;24.632
4;20. la Maternitat i Sant Ramon;23.817;11.128;12.689
4;21. Pedralbes;11.713;5.475;6.238
5;22. Vallvidrera, el Tibidabo i les Planes;4.602;2.245;2.357
5;23. Sarrià;24.641;11.483;13.158
5;24. les Tres Torres;16.498;7.713;8.785
5;25. Sant Gervasi - la Bonanova;25.246;11.587;13.659
5;26. Sant Gervasi - Galvany;46.708;21.056;25.652
5;27. el Putxet i el Farró;29.139;13.248;15.891
6;28. Vallcarca i els Penitents;15.492;7.193;8.299
6;29. el Coll;7.349;3.455;3.894
6;30. la Salut;13.227;6.060;7.167
6;31. la Vila de Gràcia;50.415;22.876;27.539
6;32. el Camp d'en Grassot i Gràcia Nova;33.918;15.557;18.361
7;33. el Baix Guinardó;25.466;11.746;13.720
7;34. Can Baró;8.819;4.136;4.683
7;35. el Guinardó;35.773;16.590;19.183
7;36. la Font d'en Fargues;9.407;4.467;4.940
7;37. el Carmel;31.456;15.065;16.391
7;38. la Teixonera;11.361;5.513;5.848
7;39. Sant Genís dels Agudells;6.754;3.157;3.597
7;40. Montbau;5.046;2.233;2.813
7;41. la Vall d'Hebron;5.468;2.578;2.890
7;42. la Clota;542;276;266
7;43. Horta;26.467;12.463;14.004
8;44. Vilapicina i la Torre Llobeta;25.451;11.680;13.771
8;45. Porta;24.240;11.327;12.913
8;46. el Turó de la Peira;15.389;7.089;8.300
8;47. Can Peguera;2.275;1.088;1.187
8;48. la Guineueta;15.099;7.033;8.066
8;49. Canyelles;6.953;3.332;3.621
8;50. les Roquetes;15.398;7.442;7.956
8;51. Verdun;12.225;5.657;6.568
8;52. la Prosperitat;25.979;12.357;13.622
8;53. la Trinitat Nova;7.332;3.510;3.822
8;54. Torre Baró;2.727;1.374;1.353
8;55. Ciutat Meridiana;10.245;5.091;5.154
8;56. Vallbona;1.335;656;679
9;57. la Trinitat Vella;10.059;5.225;4.834
9;58. Baró de Viver;2.482;1.209;1.273
9;59. el Bon Pastor;12.554;6.281;6.273
9;60. Sant Andreu;56.503;26.619;29.884
9;61. la Sagrera;28.887;13.495;15.392
9;62. el Congrés i els Indians;14.043;6.390;7.653
9;63. Navas;21.966;10.184;11.782
10;64. el Camp de l'Arpa del Clot;38.178;17.911;20.267
10;65. el Clot;26.933;12.937;13.996
10;66. el Parc i la Llacuna del Poblenou;14.708;7.108;7.600
10;67. la Vila Olímpica del Poblenou;9.326;4.570;4.756
10;68. el Poblenou;33.437;16.265;17.172
10;69. Diagonal Mar i el Front Marítim del Poblenou;13.369;6.523;6.846
10;70. el Besòs i el Maresme;22.834;11.587;11.247
10;71. Provençals del Poblenou;20.161;9.741;10.420
10;72. Sant Martí de Provençals;25.975;12.174;13.801
10;73. la Verneda i la Pau;28.738;13.681;15.057
